index,vul_code,is_vulnerable,programming_language,method_name,file_name,repo_url,repo_owner,committer,committer_date,commit_msg,cwe_id,cwe_name,cwe_description,cwe_url,cve_id,patch
1,"private HandshakeMessage createServerHandshakeMessage( HandshakeType type, byte[] buffer) { ClientContext context = (ClientContext)this.context; switch (type) { case HandshakeType.HelloRequest: if (context.HandshakeState != HandshakeState.Started) { context.HandshakeState = HandshakeState.None; } else { this.SendAlert( AlertLevel.Warning, AlertDescription.NoRenegotiation); } return null; case HandshakeType.ServerHello: return new TlsServerHello(this.context, buffer); case HandshakeType.Certificate: return new TlsServerCertificate(this.context, buffer); case HandshakeType.ServerKeyExchange: return new TlsServerKeyExchange(this.context, buffer); case HandshakeType.CertificateRequest: return new TlsServerCertificateRequest(this.context, buffer); case HandshakeType.ServerHelloDone: return new TlsServerHelloDone(this.context, buffer); case HandshakeType.Finished: return new TlsServerFinished(this.context, buffer); default: throw new TlsException( AlertDescription.UnexpectedMessage, String.Format(CultureInfo.CurrentUICulture, ""Unknown server handshake message received ({0})"", type.ToString())); } }",True,Go,Mono.Security.Protocol.Tls::ClientRecordProtocol::createServerHandshakeMessage,ClientRecordProtocol.cs,https://github.com/mono/mono,mono,Miguel de Icaza,2015-03-06 10:34:14-05:00,TLS protocol: add handshake state validation,CWE-295,Improper Certificate Validation,"The product does not validate, or incorrectly validates, a certificate.",https://cwe.mitre.org/data/definitions/295.html,CVE-2015-2318,"private HandshakeMessage createServerHandshakeMessage( HandshakeType type, byte[] buffer) { ClientContext context = (ClientContext)this.context; var last = context.LastHandshakeMsg; switch (type) { case HandshakeType.HelloRequest: if (context.HandshakeState != HandshakeState.Started) { context.HandshakeState = HandshakeState.None; } else { this.SendAlert( AlertLevel.Warning, AlertDescription.NoRenegotiation); } return null; case HandshakeType.ServerHello: if (last != HandshakeType.HelloRequest) break; return new TlsServerHello(this.context, buffer); case HandshakeType.Certificate: if (last != HandshakeType.ServerHello) break; return new TlsServerCertificate(this.context, buffer); case HandshakeType.ServerKeyExchange: if (last == HandshakeType.Certificate && context.Current.Cipher.IsExportable) return new TlsServerKeyExchange(this.context, buffer); break; case HandshakeType.CertificateRequest: if (last == HandshakeType.ServerKeyExchange || last == HandshakeType.Certificate) return new TlsServerCertificateRequest(this.context, buffer); break; case HandshakeType.ServerHelloDone: if (last == HandshakeType.CertificateRequest || last == HandshakeType.Certificate || last == HandshakeType.ServerHello) return new TlsServerHelloDone(this.context, buffer); break; case HandshakeType.Finished: bool check = context.AbbreviatedHandshake ? (last == HandshakeType.ServerHello) : (last == HandshakeType.ServerHelloDone); if (check && context.ChangeCipherSpecDone) { context.ChangeCipherSpecDone = false; return new TlsServerFinished (this.context, buffer); } break; default: throw new TlsException( AlertDescription.UnexpectedMessage, String.Format(CultureInfo.CurrentUICulture, ""Unknown server handshake message received ({0})"", type.ToString())); } throw new TlsException (AlertDescription.HandshakeFailiure, String.Format (""Protocol error, unexpected protocol transition from {0} to {1}"", last, type)); }"
2,"private HandshakeMessage createClientHandshakeMessage( HandshakeType type, byte[] buffer) { switch (type) { case HandshakeType.ClientHello: return new TlsClientHello(this.context, buffer); case HandshakeType.Certificate: return new TlsClientCertificate(this.context, buffer); case HandshakeType.ClientKeyExchange: return new TlsClientKeyExchange(this.context, buffer); case HandshakeType.CertificateVerify: return new TlsClientCertificateVerify(this.context, buffer); case HandshakeType.Finished: return new TlsClientFinished(this.context, buffer); default: throw new TlsException( AlertDescription.UnexpectedMessage, String.Format(CultureInfo.CurrentUICulture, ""Unknown server handshake message received ({0})"", type.ToString())); } }",True,Go,Mono.Security.Protocol.Tls::ServerRecordProtocol::createClientHandshakeMessage,ServerRecordProtocol.cs,https://github.com/mono/mono,mono,Miguel de Icaza,2015-03-06 10:34:14-05:00,TLS protocol: add handshake state validation,CWE-295,Improper Certificate Validation,"The product does not validate, or incorrectly validates, a certificate.",https://cwe.mitre.org/data/definitions/295.html,CVE-2015-2318,"private HandshakeMessage createClientHandshakeMessage( HandshakeType type, byte[] buffer) { var last = context.LastHandshakeMsg; switch (type) { case HandshakeType.ClientHello: return new TlsClientHello(this.context, buffer); case HandshakeType.Certificate: if (last != HandshakeType.ClientHello) break; cert = new TlsClientCertificate(this.context, buffer); return cert; case HandshakeType.ClientKeyExchange: if (last == HandshakeType.ClientHello || last == HandshakeType.Certificate) return new TlsClientKeyExchange(this.context, buffer); break; case HandshakeType.CertificateVerify: if (last == HandshakeType.ClientKeyExchange && cert != null) return new TlsClientCertificateVerify(this.context, buffer); break; case HandshakeType.Finished: bool check = (cert == null) ? (last == HandshakeType.ClientKeyExchange) : (last == HandshakeType.CertificateVerify); if (check && context.ChangeCipherSpecDone) { context.ChangeCipherSpecDone = false; return new TlsClientFinished(this.context, buffer); } break; default: throw new TlsException(AlertDescription.UnexpectedMessage, String.Format(CultureInfo.CurrentUICulture, ""Unknown server handshake message received ({0})"", type.ToString())); break; } throw new TlsException (AlertDescription.HandshakeFailiure, String.Format (""Protocol error, unexpected protocol transition from {0} to {1}"", last, type)); }"
8,"private HandshakeMessage createServerHandshakeMessage( HandshakeType type, byte[] buffer) { ClientContext context = (ClientContext)this.context; var last = context.LastHandshakeMsg; switch (type) { case HandshakeType.HelloRequest: if (context.HandshakeState != HandshakeState.Started) { context.HandshakeState = HandshakeState.None; } else { this.SendAlert( AlertLevel.Warning, AlertDescription.NoRenegotiation); } return null; case HandshakeType.ServerHello: if (last != HandshakeType.HelloRequest) break; return new TlsServerHello(this.context, buffer); case HandshakeType.Certificate: if (last != HandshakeType.ServerHello) break; return new TlsServerCertificate(this.context, buffer); case HandshakeType.ServerKeyExchange: if (last == HandshakeType.Certificate && context.Current.Cipher.IsExportable) return new TlsServerKeyExchange(this.context, buffer); break; case HandshakeType.CertificateRequest: if (last == HandshakeType.ServerKeyExchange || last == HandshakeType.Certificate) return new TlsServerCertificateRequest(this.context, buffer); break; case HandshakeType.ServerHelloDone: if (last == HandshakeType.CertificateRequest || last == HandshakeType.Certificate || last == HandshakeType.ServerHello) return new TlsServerHelloDone(this.context, buffer); break; case HandshakeType.Finished: bool check = context.AbbreviatedHandshake ? (last == HandshakeType.ServerHello) : (last == HandshakeType.ServerHelloDone); if (check && context.ChangeCipherSpecDone) { context.ChangeCipherSpecDone = false; return new TlsServerFinished (this.context, buffer); } break; default: throw new TlsException( AlertDescription.UnexpectedMessage, String.Format(CultureInfo.CurrentUICulture, ""Unknown server handshake message received ({0})"", type.ToString())); } throw new TlsException (AlertDescription.HandshakeFailiure, String.Format (""Protocol error, unexpected protocol transition from {0} to {1}"", last, type)); }",True,Go,Mono.Security.Protocol.Tls::ClientRecordProtocol::createServerHandshakeMessage,ClientRecordProtocol.cs,https://github.com/mono/mono,mono,Miguel de Icaza,2015-03-06 10:35:27-05:00,"Remove the EXPORT ciphers and related code path

    That was still useful in 2003/2004 but the technical and legal landscape
    changed a lot since then. Removing the old, limited key size, cipher
    suites also allow removed additional parts of the code that deals with
    them.",CWE-295,Improper Certificate Validation,"The product does not validate, or incorrectly validates, a certificate.",https://cwe.mitre.org/data/definitions/295.html,CVE-2015-2319,"func canonicalMIMEHeaderKey(a []byte) string { for _, c := range a { if validHeaderFieldByte(c) { continue } return string(a) } upper := true for i, c := range a { if upper && 'a' <= c && c <= 'z' { c -= toLower } else if !upper && 'A' <= c && c <= 'Z' { c += toLower } a[i] = c upper = c == '-' } if v := commonHeader[string(a)]; v != """" { return v } return string(a) }"
11,"func canonicalMIMEHeaderKey(a []byte) string { upper := true for i, c := range a { if c == ' ' { c = '-' } else if upper && 'a' <= c && c <= 'z' { c -= toLower } else if !upper && 'A' <= c && c <= 'Z' { c += toLower } a[i] = c upper = c == '-' } if v := commonHeader[string(a)]; v != """" { return v } return string(a) }",True,Go,canonicalMIMEHeaderKey,reader.go,https://github.com/golang/go,golang,Brad Fitzpatrick,2015-06-30 17:59:02+00:00,"net/textproto: don't treat spaces as hyphens in header keys

This was originally done in https://codereview.appspot.com/5690059
(Feb 2012) to deal with bad response headers coming back from webcams,
but it presents a potential security problem with HTTP request
smuggling for request headers containing ""Content Length"" instead of
""Content-Length"".

Part of overall HTTP hardening for request smuggling. See RFC 7230.

Thanks to Régis Leroy for the report.

Change-Id: I92b17fb637c9171c5774ea1437979ae2c17ca88a
Reviewed-on: https://go-review.googlesource.com/11772
Reviewed-by: Russ Cox <rsc@golang.org>
Run-TryBot: Brad Fitzpatrick <bradfitz@golang.org>
TryBot-Result: Gobot Gobot <gobot@golang.org>",CWE-444,Inconsistent Interpretation of HTTP Requests ('HTTP Request/Response Smuggling'),"The product acts as an intermediary HTTP agent
         (such as a proxy or firewall) in the data flow between two
         entities such as a client and server, but it does not
         interpret malformed HTTP requests or responses in ways that
         are consistent with how the messages will be processed by
         those entities that are at the ultimate destination.",https://cwe.mitre.org/data/definitions/444.html,CVE-2015-5739,"func TestReadMIMEHeaderNonCompliant(t *testing.T) { r := reader(""Foo: bar\r\n"" + ""Content-Language: en\r\n"" + ""SID : 0\r\n"" + ""Audio Mode : None\r\n"" + ""Privilege : 127\r\n\r\n"") m, err := r.ReadMIMEHeader() want := MIMEHeader{ ""Foo"": {""bar""}, ""Content-Language"": {""en""}, ""Sid"": {""0""}, ""Audio Mode"": {""None""}, ""Privilege"": {""127""}, } if !reflect.DeepEqual(m, want) || err != nil { t.Fatalf(""ReadMIMEHeader =\n%v, %v; want:\n%v"", m, err, want) } }"
15,"func TestReadMIMEHeaderNonCompliant(t *testing.T) { r := reader(""Foo: bar\r\n"" + ""Content-Language: en\r\n"" + ""SID : 0\r\n"" + ""Audio Mode : None\r\n"" + ""Privilege : 127\r\n\r\n"") m, err := r.ReadMIMEHeader() want := MIMEHeader{ ""Foo"": {""bar""}, ""Content-Language"": {""en""}, ""Sid"": {""0""}, ""Audio-Mode"": {""None""}, ""Privilege"": {""127""}, } if !reflect.DeepEqual(m, want) || err != nil { t.Fatalf(""ReadMIMEHeader =\n%v, %v; want:\n%v"", m, err, want) } }",True,Go,TestReadMIMEHeaderNonCompliant,reader_test.go,https://github.com/golang/go,golang,Brad Fitzpatrick,2015-06-30 17:59:02+00:00,"net/textproto: don't treat spaces as hyphens in header keys

This was originally done in https://codereview.appspot.com/5690059
(Feb 2012) to deal with bad response headers coming back from webcams,
but it presents a potential security problem with HTTP request
smuggling for request headers containing ""Content Length"" instead of
""Content-Length"".

Part of overall HTTP hardening for request smuggling. See RFC 7230.

Thanks to Régis Leroy for the report.

Change-Id: I92b17fb637c9171c5774ea1437979ae2c17ca88a
Reviewed-on: https://go-review.googlesource.com/11772
Reviewed-by: Russ Cox <rsc@golang.org>
Run-TryBot: Brad Fitzpatrick <bradfitz@golang.org>
TryBot-Result: Gobot Gobot <gobot@golang.org>",CWE-444,Inconsistent Interpretation of HTTP Requests ('HTTP Request/Response Smuggling'),"The product acts as an intermediary HTTP agent
         (such as a proxy or firewall) in the data flow between two
         entities such as a client and server, but it does not
         interpret malformed HTTP requests or responses in ways that
         are consistent with how the messages will be processed by
         those entities that are at the ultimate destination.",https://cwe.mitre.org/data/definitions/444.html,CVE-2015-5739,"func fixLength(isResponse bool, status int, requestMethod string, header Header, te []string) (int64, error) { contentLens := header[""Content-Length""] isRequest := !isResponse if noBodyExpected(requestMethod) { if isRequest && len(contentLens) > 0 && !(len(contentLens) == 1 && contentLens[0] == ""0"") { return 0, fmt.Errorf(""http: method cannot contain a Content-Length; got %q"", contentLens) } return 0, nil } if status/100 == 1 { return 0, nil } switch status { case 204, 304: return 0, nil } if len(contentLens) > 1 { return 0, errors.New(""http: message cannot contain multiple Content-Length headers"") } if chunked(te) { return -1, nil } var cl string if len(contentLens) == 1 { cl = strings.TrimSpace(contentLens[0]) } if cl != """" { n, err := parseContentLength(cl) if err != nil { return -1, err } return n, nil } else { header.Del(""Content-Length"") } if !isResponse { return 0, nil } return -1, nil }"
19,"func TestReadRequest_BadConnectHost(t *testing.T) { data := []byte(""CONNECT []%20%48%54%54%50%2f%31%2e%31%0a%4d%79%48%65%61%64%65%72%3a%20%31%32%33%0a%0a HTTP/1.0\n\n"") r, err := ReadRequest(bufio.NewReader(bytes.NewReader(data))) if err == nil { t.Fatal(""Got unexpected request = %#v"", r) } }",True,Go,TestReadRequest_BadConnectHost,readrequest_test.go,https://github.com/golang/go,golang,Brad Fitzpatrick,2015-06-30 22:56:30+00:00,"net/http: harden Server against request smuggling

See RFC 7230.

Thanks to Régis Leroy for the report.

Change-Id: Ic1779bc2180900430d4d7a4938cac04ed73c304c
Reviewed-on: https://go-review.googlesource.com/11810
Reviewed-by: Russ Cox <rsc@golang.org>
Run-TryBot: Brad Fitzpatrick <bradfitz@golang.org>",CWE-444,Inconsistent Interpretation of HTTP Requests ('HTTP Request/Response Smuggling'),"The product acts as an intermediary HTTP agent
         (such as a proxy or firewall) in the data flow between two
         entities such as a client and server, but it does not
         interpret malformed HTTP requests or responses in ways that
         are consistent with how the messages will be processed by
         those entities that are at the ultimate destination.",https://cwe.mitre.org/data/definitions/444.html,CVE-2015-5740,"func fixLength(isResponse bool, status int, requestMethod string, header Header, te []string) (int64, error) { contentLens := header[""Content-Length""] isRequest := !isResponse if noBodyExpected(requestMethod) { if isRequest && len(contentLens) > 0 && !(len(contentLens) == 1 && contentLens[0] == ""0"") { return 0, fmt.Errorf(""http: method cannot contain a Content-Length; got %q"", contentLens) } return 0, nil } if status/100 == 1 { return 0, nil } switch status { case 204, 304: return 0, nil } if len(contentLens) > 1 { return 0, errors.New(""http: message cannot contain multiple Content-Length headers"") } if chunked(te) { return -1, nil } var cl string if len(contentLens) == 1 { cl = strings.TrimSpace(contentLens[0]) } if cl != """" { n, err := parseContentLength(cl) if err != nil { return -1, err } return n, nil } else { header.Del(""Content-Length"") } if !isResponse { return 0, nil } return -1, nil }"
20,"func TestReadRequest_BadConnectHost(t *testing.T) { data := []byte(""CONNECT []%20%48%54%54%50%2f%31%2e%31%0a%4d%79%48%65%61%64%65%72%3a%20%31%32%33%0a%0a HTTP/1.0\n\n"") r, err := ReadRequest(bufio.NewReader(bytes.NewReader(data))) if err == nil { t.Fatal(""Got unexpected request = %#v"", r) } }",True,Go,TestReadRequest_BadConnectHost,readrequest_test.go,https://github.com/golang/go,golang,Brad Fitzpatrick,2015-06-30 22:56:30+00:00,"net/http: harden Server against request smuggling

See RFC 7230.

Thanks to Régis Leroy for the report.

Change-Id: Ic1779bc2180900430d4d7a4938cac04ed73c304c
Reviewed-on: https://go-review.googlesource.com/11810
Reviewed-by: Russ Cox <rsc@golang.org>
Run-TryBot: Brad Fitzpatrick <bradfitz@golang.org>",CWE-444,Inconsistent Interpretation of HTTP Requests ('HTTP Request/Response Smuggling'),"The product acts as an intermediary HTTP agent
         (such as a proxy or firewall) in the data flow between two
         entities such as a client and server, but it does not
         interpret malformed HTTP requests or responses in ways that
         are consistent with how the messages will be processed by
         those entities that are at the ultimate destination.",https://cwe.mitre.org/data/definitions/444.html,CVE-2015-5741,"func fixLength(isResponse bool, status int, requestMethod string, header Header, te []string) (int64, error) { contentLens := header[""Content-Length""] isRequest := !isResponse if noBodyExpected(requestMethod) { if isRequest && len(contentLens) > 0 && !(len(contentLens) == 1 && contentLens[0] == ""0"") { return 0, fmt.Errorf(""http: method cannot contain a Content-Length; got %q"", contentLens) } return 0, nil } if status/100 == 1 { return 0, nil } switch status { case 204, 304: return 0, nil } if len(contentLens) > 1 { return 0, errors.New(""http: message cannot contain multiple Content-Length headers"") } if chunked(te) { return -1, nil } var cl string if len(contentLens) == 1 { cl = strings.TrimSpace(contentLens[0]) } if cl != """" { n, err := parseContentLength(cl) if err != nil { return -1, err } return n, nil } else { header.Del(""Content-Length"") } if !isResponse { return 0, nil } return -1, nil }"
29,"func fixLength(isResponse bool, status int, requestMethod string, header Header, te []string) (int64, error) { if noBodyExpected(requestMethod) { return 0, nil } if status/100 == 1 { return 0, nil } switch status { case 204, 304: return 0, nil } if chunked(te) { return -1, nil } cl := strings.TrimSpace(header.get(""Content-Length"")) if cl != """" { n, err := parseContentLength(cl) if err != nil { return -1, err } return n, nil } else { header.Del(""Content-Length"") } if !isResponse && requestMethod == ""GET"" { return 0, nil } return -1, nil }",True,Go,fixLength,transfer.go,https://github.com/golang/go,golang,Brad Fitzpatrick,2015-06-30 22:56:30+00:00,"net/http: harden Server against request smuggling

See RFC 7230.

Thanks to Régis Leroy for the report.

Change-Id: Ic1779bc2180900430d4d7a4938cac04ed73c304c
Reviewed-on: https://go-review.googlesource.com/11810
Reviewed-by: Russ Cox <rsc@golang.org>
Run-TryBot: Brad Fitzpatrick <bradfitz@golang.org>",CWE-444,Inconsistent Interpretation of HTTP Requests ('HTTP Request/Response Smuggling'),"The product acts as an intermediary HTTP agent
         (such as a proxy or firewall) in the data flow between two
         entities such as a client and server, but it does not
         interpret malformed HTTP requests or responses in ways that
         are consistent with how the messages will be processed by
         those entities that are at the ultimate destination.",https://cwe.mitre.org/data/definitions/444.html,CVE-2015-5740,"func fixLength(isResponse bool, status int, requestMethod string, header Header, te []string) (int64, error) { contentLens := header[""Content-Length""] isRequest := !isResponse if noBodyExpected(requestMethod) { if isRequest && len(contentLens) > 0 && !(len(contentLens) == 1 && contentLens[0] == ""0"") { return 0, fmt.Errorf(""http: method cannot contain a Content-Length; got %q"", contentLens) } return 0, nil } if status/100 == 1 { return 0, nil } switch status { case 204, 304: return 0, nil } if len(contentLens) > 1 { return 0, errors.New(""http: message cannot contain multiple Content-Length headers"") } if chunked(te) { return -1, nil } var cl string if len(contentLens) == 1 { cl = strings.TrimSpace(contentLens[0]) } if cl != """" { n, err := parseContentLength(cl) if err != nil { return -1, err } return n, nil } else { header.Del(""Content-Length"") } if !isResponse { return 0, nil } return -1, nil }"
30,"func fixLength(isResponse bool, status int, requestMethod string, header Header, te []string) (int64, error) { if noBodyExpected(requestMethod) { return 0, nil } if status/100 == 1 { return 0, nil } switch status { case 204, 304: return 0, nil } if chunked(te) { return -1, nil } cl := strings.TrimSpace(header.get(""Content-Length"")) if cl != """" { n, err := parseContentLength(cl) if err != nil { return -1, err } return n, nil } else { header.Del(""Content-Length"") } if !isResponse && requestMethod == ""GET"" { return 0, nil } return -1, nil }",True,Go,fixLength,transfer.go,https://github.com/golang/go,golang,Brad Fitzpatrick,2015-06-30 22:56:30+00:00,"net/http: harden Server against request smuggling

See RFC 7230.

Thanks to Régis Leroy for the report.

Change-Id: Ic1779bc2180900430d4d7a4938cac04ed73c304c
Reviewed-on: https://go-review.googlesource.com/11810
Reviewed-by: Russ Cox <rsc@golang.org>
Run-TryBot: Brad Fitzpatrick <bradfitz@golang.org>",CWE-444,Inconsistent Interpretation of HTTP Requests ('HTTP Request/Response Smuggling'),"The product acts as an intermediary HTTP agent
         (such as a proxy or firewall) in the data flow between two
         entities such as a client and server, but it does not
         interpret malformed HTTP requests or responses in ways that
         are consistent with how the messages will be processed by
         those entities that are at the ultimate destination.",https://cwe.mitre.org/data/definitions/444.html,CVE-2015-5741,"func fixTransferEncoding(isResponse bool, requestMethod string, header Header) ([]string, error) { raw, present := header[""Transfer-Encoding""] if !present { return nil, nil } isRequest := !isResponse delete(header, ""Transfer-Encoding"") encodings := strings.Split(raw[0], "","") te := make([]string, 0, len(encodings)) for _, encoding := range encodings { encoding = strings.ToLower(strings.TrimSpace(encoding)) if encoding == ""identity"" { break } if encoding != ""chunked"" { return nil, &badStringError{""unsupported transfer encoding"", encoding} } te = te[0 : len(te)+1] te[len(te)-1] = encoding } if len(te) > 1 { return nil, &badStringError{""too many transfer encodings"", strings.Join(te, "","")} } if len(te) > 0 { if len(header[""Content-Length""]) > 0 { if isRequest { return nil, errors.New(""http: invalid Content-Length with Transfer-Encoding"") } delete(header, ""Content-Length"") } return te, nil } return nil, nil }"
31,"func fixTransferEncoding(requestMethod string, header Header) ([]string, error) { raw, present := header[""Transfer-Encoding""] if !present { return nil, nil } delete(header, ""Transfer-Encoding"") encodings := strings.Split(raw[0], "","") te := make([]string, 0, len(encodings)) for _, encoding := range encodings { encoding = strings.ToLower(strings.TrimSpace(encoding)) if encoding == ""identity"" { break } if encoding != ""chunked"" { return nil, &badStringError{""unsupported transfer encoding"", encoding} } te = te[0 : len(te)+1] te[len(te)-1] = encoding } if len(te) > 1 { return nil, &badStringError{""too many transfer encodings"", strings.Join(te, "","")} } if len(te) > 0 { delete(header, ""Content-Length"") return te, nil } return nil, nil }",True,Go,fixTransferEncoding,transfer.go,https://github.com/golang/go,golang,Brad Fitzpatrick,2015-06-30 22:56:30+00:00,"net/http: harden Server against request smuggling

See RFC 7230.

Thanks to Régis Leroy for the report.

Change-Id: Ic1779bc2180900430d4d7a4938cac04ed73c304c
Reviewed-on: https://go-review.googlesource.com/11810
Reviewed-by: Russ Cox <rsc@golang.org>
Run-TryBot: Brad Fitzpatrick <bradfitz@golang.org>",CWE-444,Inconsistent Interpretation of HTTP Requests ('HTTP Request/Response Smuggling'),"The product acts as an intermediary HTTP agent
         (such as a proxy or firewall) in the data flow between two
         entities such as a client and server, but it does not
         interpret malformed HTTP requests or responses in ways that
         are consistent with how the messages will be processed by
         those entities that are at the ultimate destination.",https://cwe.mitre.org/data/definitions/444.html,CVE-2015-5740,"func fixTransferEncoding(isResponse bool, requestMethod string, header Header) ([]string, error) { raw, present := header[""Transfer-Encoding""] if !present { return nil, nil } isRequest := !isResponse delete(header, ""Transfer-Encoding"") encodings := strings.Split(raw[0], "","") te := make([]string, 0, len(encodings)) for _, encoding := range encodings { encoding = strings.ToLower(strings.TrimSpace(encoding)) if encoding == ""identity"" { break } if encoding != ""chunked"" { return nil, &badStringError{""unsupported transfer encoding"", encoding} } te = te[0 : len(te)+1] te[len(te)-1] = encoding } if len(te) > 1 { return nil, &badStringError{""too many transfer encodings"", strings.Join(te, "","")} } if len(te) > 0 { if len(header[""Content-Length""]) > 0 { if isRequest { return nil, errors.New(""http: invalid Content-Length with Transfer-Encoding"") } delete(header, ""Content-Length"") } return te, nil } return nil, nil }"
