index,vul_code,is_vulnerable,programming_language,method_name,file_name,repo_url,repo_owner,committer,committer_date,commit_msg,cwe_id,cwe_name,cwe_description,cwe_url,cve_id,patch
1,"def escape_javascript(javascript) javascript = javascript.to_s if javascript.empty? result = """" else result = javascript.gsub(/(\\|<\/|\r\n|\342\200\250|\342\200\251|[\n\r""'])/u, JS_ESCAPE_MAP) end javascript.html_safe? ? result.html_safe : result end",True,Ruby,escape_javascript,javascript_helper.rb,https://github.com/rails/rails,rails,Aaron Patterson,2020-03-19 09:48:08-07:00,"Fix possible XSS vector in JS escape helper

This commit escapes dollar signs and backticks to prevent JS XSS issues
when using the `j` or `javascript_escape` helper

CVE-2020-5267",CWE-80,Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special characters such as ""<"", "">"", and ""&"" that could be interpreted as web-scripting elements when they are sent to a downstream component that processes web pages.",https://cwe.mitre.org/data/definitions/80.html,CVE-2020-5267,"def escape_javascript(javascript) javascript = javascript.to_s if javascript.empty? result = """" else result = javascript.gsub(/(\\|<\/|\r\n|\342\200\250|\342\200\251|[\n\r""']|[`]|[$])/u, JS_ESCAPE_MAP) end javascript.html_safe? ? result.html_safe : result end"
4,"def quote_column_name(name) #:nodoc: @quoted_column_names[name] ||= ""`#{name}`"" end",True,Ruby,quote_column_name,mysql2_adapter.rb,https://github.com/rails/rails,rails,Aaron Patterson,2011-08-16 15:24:42-07:00,prevent sql injection attacks by escaping quotes in column names,CWE-89,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),"The product constructs all or part of an SQL command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component.",https://cwe.mitre.org/data/definitions/89.html,CVE-2011-2930,"def quote_column_name(name) #:nodoc: @quoted_column_names[name] ||= ""`#{name.to_s.gsub('`', '``')}`"" end"
6,"def quote_column_name(name) #:nodoc: @quoted_column_names[name] ||= ""`#{name}`"" end",True,Ruby,quote_column_name,mysql_adapter.rb,https://github.com/rails/rails,rails,Aaron Patterson,2011-08-16 15:24:42-07:00,prevent sql injection attacks by escaping quotes in column names,CWE-89,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),"The product constructs all or part of an SQL command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component.",https://cwe.mitre.org/data/definitions/89.html,CVE-2011-2930,"def quote_column_name(name) #:nodoc: @quoted_column_names[name] ||= ""`#{name.to_s.gsub('`', '``')}`"" end"
9,"def quote_column_name(name) #:nodoc: %Q(""#{name}"") end",True,Ruby,quote_column_name,sqlite_adapter.rb,https://github.com/rails/rails,rails,Aaron Patterson,2011-08-16 15:24:42-07:00,prevent sql injection attacks by escaping quotes in column names,CWE-89,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),"The product constructs all or part of an SQL command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component.",https://cwe.mitre.org/data/definitions/89.html,CVE-2011-2930,"def quote_column_name(name) #:nodoc: %Q(""#{name.to_s.gsub('""', '""""')}"")"
12,"def parse(parent, line, pos, content, strict=true) if content !~ /^<\S/ Text.new(parent, line, pos, content) else scanner = StringScanner.new(content) unless scanner.skip(/</) if strict raise ""expected <"" else return Text.new(parent, line, pos, content) end end if scanner.skip(/!\[CDATA\[/) unless scanner.skip_until(/\]\]>/) if strict raise ""expected ]]> (got #{scanner.rest.inspect} for #{content})"" else scanner.skip_until(/\Z/) end end return CDATA.new(parent, line, pos, scanner.pre_match.gsub(/<!\[CDATA\[/, '')) end closing = ( scanner.scan(/\//) ? :close : nil ) return Text.new(parent, line, pos, content) unless name = scanner.scan(/[\w:-]+/) name.downcase! unless closing scanner.skip(/\s*/) attributes = {} while attr = scanner.scan(/[-\w:]+/) value = true if scanner.scan(/\s*=\s*/) if delim = scanner.scan(/['""]/) value = """" while text = scanner.scan(/[^#{delim}\\]+|./) case text when ""\\"" then value << text break if scanner.eos? value << scanner.getch when delim break else value << text end end else value = scanner.scan(/[^\s>\/]+/) end end attributes[attr.downcase] = value scanner.skip(/\s*/) end closing = ( scanner.scan(/\//) ? :self : nil ) end unless scanner.scan(/\s*>/) if strict raise ""expected > (got #{scanner.rest.inspect} for #{content}, #{attributes.inspect})"" else # throw away all text until we find what we're looking for scanner.skip_until(/>/) or scanner.terminate end end Tag.new(parent, line, pos, name, attributes, closing) end",True,Ruby,parse,node.rb,https://github.com/rails/rails,rails,Aaron Patterson,2011-08-16 15:24:48-07:00,"Tags with invalid names should also be stripped in order to prevent
XSS attacks.  Thanks Sascha Depold for the report.",CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.,https://cwe.mitre.org/data/definitions/79.html,CVE-2011-2931,"def parse(parent, line, pos, content, strict=true) if content !~ /^<\S/ Text.new(parent, line, pos, content) else scanner = StringScanner.new(content) unless scanner.skip(/</) if strict raise ""expected <"" else return Text.new(parent, line, pos, content) end end if scanner.skip(/!\[CDATA\[/) unless scanner.skip_until(/\]\]>/) if strict raise ""expected ]]> (got #{scanner.rest.inspect} for #{content})"" else scanner.skip_until(/\Z/) end end return CDATA.new(parent, line, pos, scanner.pre_match.gsub(/<!\[CDATA\[/, '')) end closing = ( scanner.scan(/\//) ? :close : nil ) return Text.new(parent, line, pos, content) unless name = scanner.scan(/[^\s!>\/]+/) name.downcase! unless closing scanner.skip(/\s*/) attributes = {} while attr = scanner.scan(/[-\w:]+/) value = true if scanner.scan(/\s*=\s*/) if delim = scanner.scan(/['""]/) value = """" while text = scanner.scan(/[^#{delim}\\]+|./) case text when ""\\"" then value << text break if scanner.eos? value << scanner.getch when delim break else value << text end end else value = scanner.scan(/[^\s>\/]+/) end end attributes[attr.downcase] = value scanner.skip(/\s*/) end closing = ( scanner.scan(/\//) ? :self : nil ) end unless scanner.scan(/\s*>/) if strict raise ""expected > (got #{scanner.rest.inspect} for #{content}, #{attributes.inspect})"" else # throw away all text until we find what we're looking for scanner.skip_until(/>/) or scanner.terminate end end Tag.new(parent, line, pos, name, attributes, closing) end"
15,"def html_escape(s) s = s.to_s if s.html_safe? s else s.gsub(/[&""><]/) { |special| HTML_ESCAPE[special] }.html_safe end end",True,Ruby,html_escape,output_safety.rb,https://github.com/rails/rails,rails,Aaron Patterson,2011-08-16 15:24:58-07:00,properly escape html to avoid invalid utf8 causing XSS attacks,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.,https://cwe.mitre.org/data/definitions/79.html,CVE-2011-2932,"def html_escape(s) s = s.to_s if s.html_safe? s else s.to_s.gsub(/&/, ""&amp;"").gsub(/\""/, ""&quot;"").gsub(/>/, ""&gt;"").gsub(/</, ""&lt;"").html_safe end end"
19,"def build_query(path, details) query = @pattern.dup query.gsub!(/\:prefix(\/)?/, path.prefix.empty? ? """" : ""#{path.prefix}\\1"") # prefix can be empty... query.gsub!(/\:action/, path.partial? ? ""_#{path.name}"" : path.name) details.each do |ext, variants| query.gsub!(/\:#{ext}/, ""{#{variants.compact.uniq.join(',')}}"") end File.expand_path(query, @path) end",True,Ruby,build_query,resolver.rb,https://github.com/rails/rails,rails,Aaron Patterson,2011-08-16 15:28:27-07:00,Properly escape glob characters.,CWE-20,Improper Input Validation,"The product receives input or data, but it does
        not validate or incorrectly validates that the input has the
        properties that are required to process the data safely and
        correctly.",https://cwe.mitre.org/data/definitions/20.html,CVE-2011-2929,"def build_query(path, details) query = @pattern.dup prefix = path.prefix.empty? ? """" : ""#{escape_entry(path.prefix)}\\1"" query.gsub!(/\:prefix(\/)?/, prefix) partial = escape_entry(path.partial? ? ""_#{path.name}"" : path.name) query.gsub!(/\:action/, partial) details.each do |ext, variants| query.gsub!(/\:#{ext}/, ""{#{variants.compact.uniq.join(',')}}"") end File.expand_path(query, @path) end"
25,"def authorized?(request) origin_host = request.get_header(""HTTP_HOST"")&.slice(VALID_ORIGIN_HOST, 1) || """" forwarded_host = request.x_forwarded_host&.slice(VALID_FORWARDED_HOST, 1) || """" @permissions.allows?(origin_host) && (forwarded_host.blank? || @permissions.allows?(forwarded_host)) end",True,Ruby,authorized?,host_authorization.rb,https://github.com/rails/rails,rails,Aaron Patterson,2021-12-14 12:25:10-08:00,"Fix invalid forwarded host vulnerability

Prior to this commit, it was possible to pass an unvalidated host
through the `X-Forwarded-Host` header. If the value of the header
was prefixed with a invalid domain character (for example a `/`),
it was always accepted as the actual host of that request.

Since this host is used for all url helpers, an attacker could change
generated links and redirects. If the header is set to
`X-Forwarded-Host: //evil.hacker`, a redirect will be send to
`https:////evil.hacker/`. Browsers will ignore these four slashes
and redirect the user.

[CVE-2021-44528]",CWE-601,URL Redirection to Untrusted Site ('Open Redirect'),"A web application accepts a user-controlled input that specifies a link to an external site, and uses that link in a Redirect. This simplifies phishing attacks.",https://cwe.mitre.org/data/definitions/601.html,CVE-2021-44528,"def authorized?(request) origin_host = request.get_header(""HTTP_HOST"") forwarded_host = request.x_forwarded_host&.split(/,\s?/)&.last @permissions.allows?(origin_host) && (forwarded_host.blank? || @permissions.allows?(forwarded_host)) end"
26,"def sanitize_string(host) if host.start_with?(""."") /\A(.+\.)?#{Regexp.escape(host[1..-1])}\z/i else /\A#{Regexp.escape host}\z/i end end",True,Ruby,sanitize_string,host_authorization.rb,https://github.com/rails/rails,rails,Aaron Patterson,2021-12-14 12:25:10-08:00,"Fix invalid forwarded host vulnerability

Prior to this commit, it was possible to pass an unvalidated host
through the `X-Forwarded-Host` header. If the value of the header
was prefixed with a invalid domain character (for example a `/`),
it was always accepted as the actual host of that request.

Since this host is used for all url helpers, an attacker could change
generated links and redirects. If the header is set to
`X-Forwarded-Host: //evil.hacker`, a redirect will be send to
`https:////evil.hacker/`. Browsers will ignore these four slashes
and redirect the user.

[CVE-2021-44528]",CWE-601,URL Redirection to Untrusted Site ('Open Redirect'),"A web application accepts a user-controlled input that specifies a link to an external site, and uses that link in a Redirect. This simplifies phishing attacks.",https://cwe.mitre.org/data/definitions/601.html,CVE-2021-44528,"def sanitize_string(host) if host.start_with?(""."") /\A([a-z0-9-]+\.)?#{Regexp.escape(host[1..-1])}\z/i else /\A#{Regexp.escape host}\z/i end end"
28,def self.run! # :nodoc: if check! super else Null end end,True,Ruby,self.run!,reloader.rb,https://github.com/rails/rails,rails,Aaron Patterson,2022-02-11 11:48:19-08:00,"Fix reloader to work with new Executor signature

This is a follow up to [CVE-2022-23633].",CWE-212,Improper Removal of Sensitive Information Before Storage or Transfer,"The product stores, transfers, or shares a resource that contains sensitive information, but it does not properly remove that information before the product makes the resource available to unauthorized actors.",https://cwe.mitre.org/data/definitions/212.html,CVE-2022-23633,def self.run!(reset: false) # :nodoc: if check! super else Null end end
